FileName,GameMode,Map,Version,Region,GameTime,Team,PlayerName,PlayerLevel,HeroName,HeroLevel,Award,Talents_L1,Talents_L4,Talents_L7,Talents_L10,Talents_L13,Talents_L16,Talents_L20,HeroKills,Assists,Takedowns,Deaths,MinionDamage,SummonDamage,StructureDamage,TotalSiegeDamage,HeroDamage,DamageTaken,HealingShielding,SelfHealing,Experience,SpentDead,RootingHeroes,SilenceHeroes,StunHeroes,CCHeroes,OnFire,SpellDamage,PhysicalDamage,MercDamage,MercCampCaptures,WatchTowerCaptures,TownKills,MinionKills,RegenGlobes,Winner,Role
2025-05-07 23.50.43 Silver City.StormReplay,aram,Silver City,2.55.10.93810,us,0:15:05,Blue,Swift,685,Falstad,1,0,0,FalstadMasteryHammerangSecretWeapon,0,FalstadMasteryBarrelRollFlowRider,FalstadMasteryCripplingHammerHammerang,0,0,0,3,3,6,37191,293,948,39737,57292,50055,0,7054,8131,0:01:55,0.0,0:00:00,0:00:00,0:00:00,0:00:00,80115,27132,2105,0,0,0,29,18,No,Ranged Assassin
2025-01-28 21.47.45 Lost Cavern.StormReplay,aram,Lost Cavern,2.55.9.93613,us,0:15:05,Blue,Raizenser,3041,E.T.C.,1,0,ETCMasteryProgRock,L90ETCMasteryFaceMeltPinballWizard,ETCHeroicAbilityMoshPit,ETCMasteryEncore,ETCMasteryShowStopper,L90ETCMasteryMoshPitTourBus,0,2,25,27,3,11070,0,7028,18098,20955,68925,6958,25534,7827,0:01:15,0.0,0:00:00,0:00:38,0:00:00,0:00:00,23272,14655,0,0,0,0,18,44,Yes,Tank
2025-01-28 21.47.45 Lost Cavern.StormReplay,aram,Lost Cavern,2.55.9.93613,us,0:15:05,Blue,Malenfant,818,Artanis,1,mostDamageTaken,ArtanisProtectorOfAiur,ArtanisShieldOverloadShieldSurge,ArtanisFinalCut,ArtanisTwinBladesTripleStrike,0,ArtanisTwinBladesBladesofaTemplar,ArtanisTwinBladesZealotCharge,11,17,28,1,11690,769,18347,30806,43472,90111,0,22040,7810,0:00:33,0.0,0:00:00,0:00:00,0:00:00,0:00:00,18886,52465,0,0,0,2,14,32,Yes,Bruiser
2025-05-07 23.50.43 Silver City.StormReplay,aram,Silver City,2.55.10.93810,us,0:15:05,Blue,Indigente,240,Chen,1,mostTeamfightDamageTaken,ChenDeadlyStrike,0,ChenHeroicAbilityWanderingKeg,0,ChenFlyingLeap,0,0,2,2,4,4,8177,423,0,9918,34161,123870,16463,60124,6209,0:00:44,0.0,0:00:00,0:00:00,0:00:00,0:00:00,48321,9939,1926,0,0,0,12,25,No,Bruiser
2025-05-07 23.50.43 Silver City.StormReplay,aram,Silver City,2.55.10.93810,us,0:15:05,Blue,Raizenser,3183,Lucio,1,0,LucioSoundwaveSubwoofer,0,LucioSoundBarrier,LucioCrossfadeAllTogetherTalent,LucioAmpItUpRejuvenescencia,0,0,0,4,4,3,5274,0,0,5274,20359,44176,90652,0,4626,0:00:50,0.0,0:00:00,0:00:00,0:00:00,0:00:00,8541,18348,0,0,0,0,12,22,No,Healer
2025-05-07 23.50.43 Silver City.StormReplay,aram,Silver City,2.55.10.93810,us,0:15:05,Blue,Deathmask,2095,Imperius,1,0,0,ImperiusCelestialChargeFlashOfAnger,0,ImperiusMoltenArmorDivineRage,ImperiusCelestialChargeCelestialSwiftness,0,0,0,4,4,10,14338,414,0,14752,30351,80103,0,17948,4447,0:03:02,0.0,0:00:00,0:00:25,0:00:00,0:00:00,34059,14238,0,0,0,0,9,13,No,Bruiser
2025-01-28 21.47.45 Lost Cavern.StormReplay,aram,Lost Cavern,2.55.9.93613,us,0:15:05,Blue,WatchdogMan,2854,Lt. Morales,1,mostHealing,MedicCellularReactor,0,MedicHeroicAbilityStimDrone,MedicSystemShock,MedicExtendedCare,MedicHyperactivity,0,0,28,28,0,7406,0,4342,11748,5755,21559,93428,12668,6524,0:00:00,0.0,0:00:00,0:00:00,0:00:00,0:00:00,13857,3514,0,0,0,2,4,36,Yes,Healer
2024-12-13 21.37.49 Lost Cavern.StormReplay,aram,Lost Cavern,2.55.8.93382,us,0:15:04,Red,Indigente,14,Gul'dan,1,mostHeroDamageDone,GuldanCorruptionEchoedCorruption,GuldanFelFlameBoundByShadow,GuldanHorrify,GuldanFelFlameFelArmor,0,GuldanLifeTapDarknessWithin,0,3,14,17,2,28083,0,24722,60487,113661,55846,0,23753,12698,0:00:51,0.0,0:00:14,0:00:00,0:00:00,0:01:22,145937,13806,0,0,0,2,57,32,Yes,Mage
2024-12-13 21.37.49 Lost Cavern.StormReplay,aram,Lost Cavern,2.55.8.93382,us,0:15:04,Red,WatchdogMan,2794,Junkrat,1,mvp,JunkratFragLauncherTasteForExplosions,0,JunkratRIPTire,JunkratFragLauncherBombsAwayTalent,JunkratFragLauncherBurstFire,0,JunkratFragLauncherCannonball,4,14,18,1,45137,0,23631,68768,111342,30652,0,0,11107,0:00:09,0.000347222,0:00:18,0:00:00,0:00:00,0:03:27,128770,41147,0,0,0,2,45,27,Yes,Mage
2024-12-13 21.37.49 Lost Cavern.StormReplay,aram,Lost Cavern,2.55.8.93382,us,0:15:04,Red,ChapelHots,266,Gazlowe,1,0,0,GazloweHyperfocusCoils,GazloweMasterBlaster,GazloweRockItTurretSuperiorSchematics,GazloweXplodiumChargeArkReaktor,0,GazloweXplodiumChargeBombToss,6,12,18,0,32007,0,20332,52339,55127,49694,0,14460,9241,0:00:00,0.0,0:00:00,0:00:39,0:00:00,0:00:00,84366,18124,0,0,0,2,35,29,Yes,Bruiser
2024-12-13 21.37.49 Lost Cavern.StormReplay,aram,Lost Cavern,2.55.8.93382,us,0:15:04,Red,Ticoman,1950,Stitches,1,mostDamageTaken,StitchesPlaytime,StitchesSerratedEdge,0,StitchesMeatHook,0,StitchesFlareUp,StitchesHookMasterHooker,4,14,18,1,15042,0,10096,25138,37843,76525,0,16510,8358,0:00:09,0.0,0:00:00,0:00:41,0:00:00,0:00:00,49777,10036,0,0,0,2,24,30,Yes,Tank
2024-12-13 21.37.49 Lost Cavern.StormReplay,aram,Lost Cavern,2.55.8.93382,us,0:15:04,Red,Deathmask,2030,Auriel,1,0,AurielMajesticSpanSacredSweepTalent,AurielGlimmerofHopeRayOfHeavenTalent,AurielHeroicResurrect,AurielBlindingFlashSacredSweepTalent,AurielReservoirofHopeRayOfHeavenTalent,0,0,1,17,18,1,29363,0,6987,36350,22584,34262,110207,0,7967,0:00:07,0.0,0:00:00,0:00:12,0:00:00,0:00:00,41670,15579,0,0,0,2,23,25,Yes,Healer
2025-05-03 20.18.54 Industrial District.StormReplay,aram,Industrial District,2.55.10.93810,us,0:15:03,Red,Raizenser,3179,Junkrat,1,mostRoots,0,JunkratSteelTrapChatteringTeeth,JunkratRIPTire,0,JunkratFragLauncherBurstFire,JunkratRIPTireExtraOomph,0,6,13,19,5,58878,3043,10905,73270,66506,30280,0,0,17813,0:01:41,0.000393519,0:00:26,0:00:00,0:00:00,0:00:32,87992,47748,2432,1,0,0,67,29,No,Mage
2025-05-03 20.18.54 Industrial District.StormReplay,aram,Industrial District,2.55.10.93810,us,0:15:03,Red,ChapelHots,325,Tassadar,1,0,TassadarKhaydarinAmulet,TassadarPlasmaShield,TassadarHeroicAbilityArchon,TassadarShadowWalk,TassadarPsychicShock,0,TassadarKhalasGift,5,11,16,6,41594,3254,8007,55418,61262,60024,0,15192,13636,0:02:22,0.0,0:00:00,0:00:00,0:00:00,0:02:44,76315,36440,2838,0,0,0,48,23,No,Mage
2025-01-02 22.42.17 Braxis Outpost.StormReplay,aram,Braxis Outpost,2.55.8.93382,us,0:15:03,Red,Raizenser,2993,Li-Ming,1,mvp,WizardAetherWalker,WizardArcaneOrbTriumvirate,WizardHeroicAbilityDisintegrate,WizardTeleportIllusionist,0,WizardDisintegrateTemporalFlux,0,7,23,30,0,31393,2962,17844,52199,83616,20179,0,0,12937,0:00:00,0.0,0:00:00,0:00:00,0:00:00,0:05:50,131016,7177,2560,1,0,2,39,30,Yes,Mage
2024-12-29 22.41.53 Lost Cavern.StormReplay,aram,Lost Cavern,2.55.8.93382,us,0:15:03,Red,Ticoman,1962,Thrall,1,0,ThrallCrashLightning,ThrallMaelstromWeapon,ThrallHeroicAbilitySundering,ThrallMasteryGraceOfAir,ThrallThunderstorm,ThrallMasteryWorldbreaker,0,3,12,16,7,28193,310,6263,34766,49049,69998,0,19529,10583,0:02:47,0.000590278,0:00:00,0:00:12,0:00:00,0:00:00,66202,24610,0,0,0,0,31,21,No,Bruiser
